year,month,iod_value
1990,1,-0.099
1990,2,-0.289
1990,3,-0.143
1990,4,-0.385
1990,5,-0.348
1990,6,-0.568
1990,7,-0.246
1990,8,-0.392
1990,9,-0.183
1990,10,-0.345
1990,11,-0.094
1990,12,0.003
1991,1,0.065
1991,2,-0.097
1991,3,-0.037
1991,4,0.289
1991,5,0.379
1991,6,0.263
1991,7,0.27
1991,8,0.058
1991,9,0.099
1991,10,-0.03
1991,11,0.04
1991,12,0.084
1992,1,-0.321
1992,2,-0.389
1992,3,-0.671
1992,4,-0.553
1992,5,-0.549
1992,6,-0.861
1992,7,-0.479
1992,8,-0.768
1992,9,-0.833
1992,10,-0.627
1992,11,-0.399
1992,12,-0.317
1993,1,-0.196
1993,2,0.035
1993,3,-0.295
1993,4,-0.181
1993,5,-0.027
1993,6,-0.108
1993,7,-0.152
1993,8,-0.305
1993,9,-0.17
1993,10,-0.156
1993,11,-0.149
1993,12,-0.206
1994,1,0.025
1994,2,-0.146
1994,3,0.202
1994,4,0.351
1994,5,0.544
1994,6,0.433
1994,7,0.557
1994,8,0.811
1994,9,0.529
1994,10,0.707
1994,11,0.287
1994,12,0.263
1995,1,0.14
1995,2,0.164
1995,3,-0.05
1995,4,-0.221
1995,5,-0.251
1995,6,-0.078
1995,7,-0.169
1995,8,-0.144
1995,9,-0.18
1995,10,-0.367
1995,11,-0.294
1995,12,0.09
1996,1,-0.021
1996,2,-0.033
1996,3,-0.085
1996,4,-0.369
1996,5,-0.266
1996,6,-0.394
1996,7,-0.643
1996,8,-0.681
1996,9,-0.712
1996,10,-1.108
1996,11,-0.797
1996,12,-0.413
1997,1,-0.11
1997,2,0.079
1997,3,0.043
1997,4,0.054
1997,5,0.025
1997,6,0.082
1997,7,0.447
1997,8,0.634
1997,9,0.771
1997,10,0.873
1997,11,1.279
1997,12,0.863
1998,1,0.525
1998,2,0.422
1998,3,-0.055
1998,4,0.047
1998,5,0.14
1998,6,0.147
1998,7,-0.385
1998,8,-0.58
1998,9,-0.496
1998,10,-0.743
1998,11,-0.653
1998,12,-0.336
1999,1,-0.13
1999,2,-0.038
1999,3,0.102
1999,4,-0.002
1999,5,-0.186
1999,6,-0.145
1999,7,0.112
1999,8,0.023
1999,9,-0.05
1999,10,-0.19
1999,11,-0.116
1999,12,-0.148
2000,1,-0.125
2000,2,-0.009
2000,3,0.14
2000,4,0.141
2000,5,0.113
2000,6,-0.022
2000,7,0.077
2000,8,0.131
2000,9,-0.096
2000,10,-0.142
2000,11,-0.306
2000,12,-0.248
2001,1,-0.431
2001,2,-0.017
2001,3,-0.01
2001,4,0.136
2001,5,0.137
2001,6,0.127
2001,7,-0.14
2001,8,-0.301
2001,9,-0.223
2001,10,-0.451
2001,11,-0.245
2001,12,-0.051
2002,1,-0.142
2002,2,-0.098
2002,3,0.008
2002,4,-0.352
2002,5,-0.329
2002,6,-0.19
2002,7,-0.26
2002,8,-0.208
2002,9,0.286
2002,10,0.405
2002,11,0.096
2002,12,-0.158
2003,1,-0.239
2003,2,0.017
2003,3,-0.039
2003,4,-0.099
2003,5,-0.164
2003,6,0.139
2003,7,0.131
2003,8,0.108
2003,9,-0.061
2003,10,-0.243
2003,11,-0.159
2003,12,0.189
2004,1,0.044
2004,2,0.114
2004,3,0.077
2004,4,-0.08
2004,5,-0.565
2004,6,-0.384
2004,7,-0.301
2004,8,-0.132
2004,9,-0.106
2004,10,-0.004
2004,11,-0.153
2004,12,-0.132
2005,1,-0.124
2005,2,-0.56
2005,3,-0.432
2005,4,0.084
2005,5,-0.033
2005,6,-0.176
2005,7,-0.384
2005,8,-0.345
2005,9,-0.534
2005,10,-0.436
2005,11,-0.272
2005,12,-0.3
2006,1,-0.135
2006,2,-0.305
2006,3,-0.226
2006,4,-0.015
2006,5,-0.207
2006,6,-0.059
2006,7,0.04
2006,8,0.229
2006,9,0.428
2006,10,0.577
2006,11,0.501
2006,12,0.172
2007,1,0.224
2007,2,0.15
2007,3,0.116
2007,4,0.1
2007,5,0.27
2007,6,0.03
2007,7,0.045
2007,8,0.236
2007,9,0.235
2007,10,0.068
2007,11,-0.023
2007,12,-0.227
2008,1,0.115
2008,2,-0.072
2008,3,0.097
2008,4,-0.153
2008,5,0.178
2008,6,0.215
2008,7,0.246
2008,8,0.124
2008,9,0.086
2008,10,0.029
2008,11,-0.128
2008,12,-0.053
2009,1,0.031
2009,2,0.163
2009,3,0.1
2009,4,0.126
2009,5,0.256
2009,6,0.1
2009,7,-0.192
2009,8,-0.104
2009,9,-0.103
2009,10,-0.013
2009,11,-0.067
2009,12,0.16
2010,1,0.294
2010,2,0.023
2010,3,0.458
2010,4,0.37
2010,5,-0.03
2010,6,-0.14
2010,7,-0.001
