year,oni_jjas_avg,oni_lag_3,pre_season_rainfall,prev_year_onset_doy,onset_doy
1995,-0.375,-0.2,388.5560972462682,295,283
1996,-0.32499999999999996,-0.3,82.11450050904179,283,255
1997,1.6999999999999997,1.6,92.51373835534736,255,321
1998,-0.825,-0.8,523.4862471737113,321,270
1999,-1.1,-1.1,129.36692120540962,270,283
2000,-0.55,-0.6,196.75670778760136,283,261
2001,-0.125,-0.1,360.3036254695233,261,275
2002,0.85,0.8,75.67803408911124,275,305
2003,0.1,0.1,43.31437663450545,305,276
2004,0.5249999999999999,0.5,239.99149418110943,276,313
2005,-0.05,-0.1,310.9071900465325,313,265
2006,0.225,0.1,83.25174932403894,265,328
2007,-0.75,-0.6,144.65220193392508,328,296
2008,-0.35,-0.4,79.02059192159305,296,279
2009,0.5249999999999999,0.5,196.97045829350165,279,286
2010,-1.15,-1.0,492.78925520256166,286,248
2011,-0.55,-0.4,113.40747389109694,248,300
2012,0.30000000000000004,0.3,105.36134222075344,300,289
2013,-0.3,-0.4,645.1049519426098,289,299
2014,0.175,0.1,557.0590924888265,299,314
2015,1.7500000000000002,1.6,71.93229390075977,314,311
2016,-0.35,-0.3,869.165856221815,311,259
2017,0.05000000000000003,0.2,248.0860294143359,259,270
2018,0.25,0.1,82.51247283565066,270,309
2019,0.3,0.3,56.12186427128675,309,306
2020,-0.47500000000000003,-0.4,172.82088568285795,306,266
2021,-0.4,-0.3,314.802129956364,266,256
2022,-0.875,-0.8,492.90541454563834,256,250
2023,1.225,1.1,188.5824320046633,250,308
2024,6.938893903907228e-18,0.1,235.73480151156878,308,256
2025,-0.2,-0.1,281.0294259640936,256,253
