year,actual_doy,predicted_doy,error_days,abs_error_days,traditional_pred,traditional_abs_error
1995,283,262.66760714285715,-20.33239285714285,20.33239285714285,295,12
1996,255,281.3485357142857,26.348535714285674,26.348535714285674,295,40
1997,321,308.77161904761914,-12.22838095238086,12.22838095238086,295,26
1998,270,265.0852539682539,-4.91474603174612,4.91474603174612,295,25
1999,283,274.62529365079354,-8.374706349206463,8.374706349206463,295,12
2000,261,269.9742182539682,8.974218253968218,8.974218253968218,295,34
2001,275,264.89342857142856,-10.106571428571442,10.106571428571442,295,20
2002,305,311.6208888888888,6.620888888888828,6.620888888888828,295,10
2003,276,288.5558095238095,12.5558095238095,12.5558095238095,295,19
2004,313,297.6748333333333,-15.32516666666669,15.32516666666669,295,18
2005,265,266.78261904761905,1.7826190476190504,1.7826190476190504,295,30
2006,328,305.80376190476187,-22.19623809523813,22.19623809523813,295,33
2007,296,275.0396031746031,-20.960396825396913,20.960396825396913,295,1
2008,279,283.72295238095234,4.722952380952336,4.722952380952336,295,16
2009,286,308.87788095238096,22.877880952380963,22.877880952380963,295,9
2010,248,272.26390476190477,24.26390476190477,24.26390476190477,295,47
2011,300,270.50673809523806,-29.493261904761937,29.493261904761937,295,5
2012,289,306.15311904761904,17.153119047619043,17.153119047619043,295,6
2013,299,261.670380952381,-37.32961904761902,37.32961904761902,295,4
2014,314,289.6141428571429,-24.385857142857105,24.385857142857105,295,19
2015,311,299.4293333333333,-11.570666666666682,11.570666666666682,295,16
2016,259,275.25161904761904,16.251619047619045,16.251619047619045,295,36
2017,270,265.5959285714286,-4.404071428571399,4.404071428571399,295,25
2018,309,311.21111904761904,2.211119047619036,2.211119047619036,295,14
2019,306,301.58052380952375,-4.419476190476246,4.419476190476246,295,11
2020,266,277.1636547619048,11.163654761904809,11.163654761904809,295,29
2021,256,266.9110952380953,10.9110952380953,10.9110952380953,295,39
2022,250,267.7030476190477,17.70304761904771,17.70304761904771,295,45
2023,308,310.51553030303035,2.5155303030303457,2.5155303030303457,295,13
2024,256,272.28157142857145,16.281571428571453,16.281571428571453,295,39
2025,253,270.7667142857143,17.766714285714272,17.766714285714272,295,42
