year,month,oni_value,oni_lag_3,oni_lag_6,enso_phase
1994,7,0.4,0.3,0.1,neutral
1994,8,0.4,0.4,0.1,neutral
1994,9,0.6,0.4,0.2,el_nino_weak
1994,10,0.7,0.4,0.3,el_nino_weak
1994,11,1.0,0.4,0.4,el_nino_weak
1994,12,1.1,0.6,0.4,el_nino_weak
1995,1,1.0,0.7,0.4,el_nino_weak
1995,2,0.7,1.0,0.4,el_nino_weak
1995,3,0.5,1.1,0.6,el_nino_weak
1995,4,0.3,1.0,0.7,neutral
1995,5,0.1,0.7,1.0,neutral
1995,6,0.0,0.5,1.1,neutral
1995,7,-0.2,0.3,1.0,neutral
1995,8,-0.5,0.1,0.7,la_nina_weak
1995,9,-0.8,0.0,0.5,la_nina_weak
1995,10,-1.0,-0.2,0.3,la_nina_weak
1995,11,-1.0,-0.5,0.1,la_nina_weak
1995,12,-1.0,-0.8,0.0,la_nina_weak
1996,1,-0.9,-1.0,-0.2,la_nina_weak
1996,2,-0.8,-1.0,-0.5,la_nina_weak
1996,3,-0.6,-1.0,-0.8,la_nina_weak
1996,4,-0.4,-0.9,-1.0,neutral
1996,5,-0.3,-0.8,-1.0,neutral
1996,6,-0.3,-0.6,-1.0,neutral
1996,7,-0.3,-0.4,-0.9,neutral
1996,8,-0.3,-0.3,-0.8,neutral
1996,9,-0.4,-0.3,-0.6,neutral
1996,10,-0.4,-0.3,-0.4,neutral
1996,11,-0.4,-0.3,-0.3,neutral
1996,12,-0.5,-0.4,-0.3,la_nina_weak
1997,1,-0.5,-0.4,-0.3,la_nina_weak
1997,2,-0.4,-0.4,-0.3,neutral
1997,3,-0.1,-0.5,-0.4,neutral
1997,4,0.3,-0.5,-0.4,neutral
1997,5,0.8,-0.4,-0.4,el_nino_weak
1997,6,1.2,-0.1,-0.5,el_nino_weak
1997,7,1.6,0.3,-0.5,el_nino_moderate
1997,8,1.9,0.8,-0.4,el_nino_moderate
1997,9,2.1,1.2,-0.1,el_nino_strong
1997,10,2.3,1.6,0.3,el_nino_strong
1997,11,2.4,1.9,0.8,el_nino_strong
1997,12,2.4,2.1,1.2,el_nino_strong
1998,1,2.2,2.3,1.6,el_nino_strong
1998,2,1.9,2.4,1.9,el_nino_moderate
1998,3,1.4,2.4,2.1,el_nino_weak
1998,4,1.0,2.2,2.3,el_nino_weak
1998,5,0.5,1.9,2.4,el_nino_weak
1998,6,-0.1,1.4,2.4,neutral
1998,7,-0.8,1.0,2.2,la_nina_weak
1998,8,-1.1,0.5,1.9,la_nina_weak
1998,9,-1.3,-0.1,1.4,la_nina_weak
1998,10,-1.4,-0.8,1.0,la_nina_weak
1998,11,-1.5,-1.1,0.5,la_nina_moderate
1998,12,-1.6,-1.3,-0.1,la_nina_moderate
1999,1,-1.5,-1.4,-0.8,la_nina_moderate
1999,2,-1.3,-1.5,-1.1,la_nina_weak
1999,3,-1.1,-1.6,-1.3,la_nina_weak
1999,4,-1.0,-1.5,-1.4,la_nina_weak
1999,5,-1.0,-1.3,-1.5,la_nina_weak
1999,6,-1.0,-1.1,-1.6,la_nina_weak
1999,7,-1.1,-1.0,-1.5,la_nina_weak
1999,8,-1.1,-1.0,-1.3,la_nina_weak
1999,9,-1.2,-1.0,-1.1,la_nina_weak
1999,10,-1.3,-1.1,-1.0,la_nina_weak
1999,11,-1.5,-1.1,-1.0,la_nina_moderate
1999,12,-1.7,-1.2,-1.0,la_nina_moderate
2000,1,-1.7,-1.3,-1.1,la_nina_moderate
2000,2,-1.4,-1.5,-1.1,la_nina_weak
2000,3,-1.1,-1.7,-1.2,la_nina_weak
2000,4,-0.8,-1.7,-1.3,la_nina_weak
2000,5,-0.7,-1.4,-1.5,la_nina_weak
2000,6,-0.6,-1.1,-1.7,la_nina_weak
2000,7,-0.6,-0.8,-1.7,la_nina_weak
2000,8,-0.5,-0.7,-1.4,la_nina_weak
2000,9,-0.5,-0.6,-1.1,la_nina_weak
2000,10,-0.6,-0.6,-0.8,la_nina_weak
2000,11,-0.7,-0.5,-0.7,la_nina_weak
2000,12,-0.7,-0.5,-0.6,la_nina_weak
2001,1,-0.7,-0.6,-0.6,la_nina_weak
2001,2,-0.5,-0.7,-0.5,la_nina_weak
2001,3,-0.4,-0.7,-0.5,neutral
2001,4,-0.3,-0.7,-0.6,neutral
2001,5,-0.3,-0.5,-0.7,neutral
2001,6,-0.1,-0.4,-0.7,neutral
2001,7,-0.1,-0.3,-0.7,neutral
2001,8,-0.1,-0.3,-0.5,neutral
2001,9,-0.2,-0.1,-0.4,neutral
2001,10,-0.3,-0.1,-0.3,neutral
2001,11,-0.3,-0.1,-0.3,neutral
2001,12,-0.3,-0.2,-0.1,neutral
2002,1,-0.1,-0.3,-0.1,neutral
2002,2,0.0,-0.3,-0.1,neutral
2002,3,0.1,-0.3,-0.2,neutral
2002,4,0.2,-0.1,-0.3,neutral
2002,5,0.4,0.0,-0.3,neutral
2002,6,0.7,0.1,-0.3,el_nino_weak
2002,7,0.8,0.2,-0.1,el_nino_weak
2002,8,0.9,0.4,0.0,el_nino_weak
2002,9,1.0,0.7,0.1,el_nino_weak
2002,10,1.2,0.8,0.2,el_nino_weak
2002,11,1.3,0.9,0.4,el_nino_weak
2002,12,1.1,1.0,0.7,el_nino_weak
