year,onset_date,onset_doy,rolling_sum_at_onset,max_dry_streak_post,shift_days
1995,1995-10-10,283,59.977050844828284,1,-12
1996,1996-09-11,255,51.083448902064674,9,-40
1997,1997-11-17,321,52.88935518153742,1,26
1998,1998-09-27,270,56.60742843343931,2,-25
1999,1999-10-10,283,64.51368933729097,1,-12
2000,2000-09-17,261,65.343660812226,4,-34
2001,2001-10-02,275,65.9491977879522,4,-20
2002,2002-11-01,305,64.06554931805414,1,10
2003,2003-10-03,276,60.36511496889823,6,-19
2004,2004-11-08,313,53.518665351777095,1,18
2005,2005-09-22,265,72.21067430071679,6,-30
2006,2006-11-24,328,66.66295294086724,4,33
2007,2007-10-23,296,72.30130452890607,1,1
2008,2008-10-05,279,57.631644074355854,2,-16
2009,2009-10-13,286,73.96833398596328,5,-9
2010,2010-09-05,248,87.62607187979361,0,-47
2011,2011-10-27,300,84.58339551859626,3,5
2012,2012-10-15,289,55.70685981570506,8,-6
2013,2013-10-26,299,72.316056589753,3,4
2014,2014-11-10,314,62.943537842584604,0,19
2015,2015-11-07,311,68.37690203555074,4,16
2016,2016-09-15,259,58.612670213100955,1,-36
2017,2017-09-27,270,82.7887641871969,1,-25
2018,2018-11-05,309,57.9156107362871,4,14
2019,2019-11-02,306,51.40162080000429,8,11
2020,2020-09-22,266,50.02618159090953,5,-29
2021,2021-09-13,256,52.03528005165212,6,-39
2022,2022-09-07,250,51.51398222919772,1,-45
2023,2023-11-04,308,51.26672756083164,6,13
2024,2024-09-12,256,79.30642468638938,9,-39
2025,2025-09-10,253,64.49808976772954,2,-42
